DATE,CES0500000011
2006-03-01,685.37
2006-04-01,691.83
2006-05-01,690.46
2006-06-01,695.57
2006-07-01,698.32
2006-08-01,696.63
2006-09-01,702.10
2006-10-01,701.09
2006-11-01,704.51
2006-12-01,707.61
2007-01-01,706.24
2007-02-01,708.98
2007-03-01,712.77
2007-04-01,713.10
2007-05-01,716.90
2007-06-01,722.78
2007-07-01,721.02
2007-08-01,722.40
2007-09-01,723.78
2007-10-01,722.36
2007-11-01,726.53
2007-12-01,728.59
2008-01-01,728.94
2008-02-01,731.34
2008-03-01,736.92
2008-04-01,732.99
2008-05-01,738.57
2008-06-01,740.29
2008-07-01,740.54
2008-08-01,744.31
2008-09-01,742.82
2008-10-01,744.19
2008-11-01,746.11
2008-12-01,743.77
2009-01-01,746.98
2009-02-01,747.66
2009-03-01,745.63
2009-04-01,746.64
2009-05-01,746.98
2009-06-01,745.78
2009-07-01,749.68
2009-08-01,751.37
2009-09-01,754.61
2009-10-01,754.08
2009-11-01,758.00
2009-12-01,758.00
2010-01-01,764.18
2010-02-01,758.81
2010-03-01,763.30
2010-04-01,766.91
2010-05-01,768.27
2010-06-01,768.27
2010-07-01,770.32
2010-08-01,773.60
2010-09-01,777.58
2010-10-01,779.98
2010-11-01,777.37
2010-12-01,780.67
2011-01-01,781.47
2011-02-01,784.44
2011-03-01,784.44
2011-04-01,788.45
2011-05-01,788.56
2011-06-01,789.24
2011-07-01,794.64
2011-08-01,791.30
2011-09-01,794.98
2011-10-01,798.42
2011-11-01,797.39
2011-12-01,798.42
2012-01-01,801.78
2012-02-01,802.82
2012-03-01,803.58
2012-04-01,806.96
2012-05-01,804.62
2012-06-01,807.02
2012-07-01,808.74
2012-08-01,808.06
2012-09-01,810.81
2012-10-01,810.46
2012-11-01,812.87
2012-12-01,818.69
2013-01-01,817.34
2013-02-01,820.07
2013-03-01,821.45
2013-04-01,821.13
2013-05-01,824.21
2013-06-01,826.97
2013-07-01,824.91
2013-08-01,829.04
2013-09-01,827.66
2013-10-01,828.70
2013-11-01,833.52
2013-12-01,831.45
2014-01-01,832.82
2014-02-01,834.18
2014-03-01,838.70
2014-04-01,839.73
2014-05-01,841.80
2014-06-01,843.18
2014-07-01,844.56
2014-08-01,849.43
2014-09-01,847.32
2014-10-01,850.47
2014-11-01,852.89
2014-12-01,852.89
2015-01-01,853.19
2015-02-01,857.39
2015-03-01,856.98
2015-04-01,858.71
2015-05-01,861.12
2015-06-01,861.81
2015-07-01,862.50
2015-08-01,865.95
2015-09-01,866.30
2015-10-01,871.57
2015-11-01,870.78
2015-12-01,871.82
2016-01-01,877.46
2016-02-01,875.61
2016-03-01,875.48
2016-04-01,878.23
2016-05-01,879.95
2016-06-01,881.67
2016-07-01,884.08
2016-08-01,882.20
2016-09-01,886.49
2016-10-01,890.27
2016-11-01,888.71
2016-12-01,889.74
2017-01-01,894.40
2017-02-01,894.54
2017-03-01,895.57
2017-04-01,900.25
2017-05-01,901.62
2017-06-01,903.69
2017-07-01,906.78
2017-08-01,907.47
2017-09-01,911.94
2017-10-01,910.91
2017-11-01,915.98
2017-12-01,919.08
2018-01-01,918.82
2018-02-01,922.88
2018-03-01,925.98
2018-04-01,928.40
2018-05-01,930.81
2018-06-01,935.58
2018-07-01,935.30
2018-08-01,939.09
2018-09-01,942.20
2018-10-01,943.92
2018-11-01,943.94
2018-12-01,950.13
2019-01-01,951.51
2019-02-01,952.54
2019-03-01,957.72
2019-04-01,956.66
2019-05-01,958.73
2019-06-01,961.82
2019-07-01,962.12
2019-08-01,968.70
2019-09-01,968.70
2019-10-01,971.46
2019-11-01,972.06
2019-12-01,973.09
2020-01-01,975.15
2020-02-01,981.09
2020-03-01,978.33
2020-04-01,1027.03
2020-05-01,1030.59
2020-06-01,1014.47
2020-07-01,1015.51
2020-08-01,1021.92
2020-09-01,1025.56
2020-10-01,1026.25
2020-11-01,1029.38
